Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-15,Las Vegas Raiders,Baltimore Ravens,1,8:29,Baltimore Ravens,Justin Tucker 48 yard field goal,0,3
2024-09-15,Las Vegas Raiders,Baltimore Ravens,2,9:19,Las Vegas Raiders,Daniel Carlson 53 yard field goal,3,3
2024-09-15,Las Vegas Raiders,Baltimore Ravens,2,6:00,Baltimore Ravens,Justin Tucker 42 yard field goal,3,6
2024-09-15,Las Vegas Raiders,Baltimore Ravens,2,1:37,Las Vegas Raiders,Daniel Carlson 51 yard field goal,6,6
2024-09-15,Las Vegas Raiders,Baltimore Ravens,2,0:03,Baltimore Ravens,Justin Tucker 32 yard field goal,6,9
2024-09-15,Las Vegas Raiders,Baltimore Ravens,3,11:42,Baltimore Ravens,Zay Flowers 8 yard pass from Lamar Jackson (Justin Tucker kick),6,16
2024-09-15,Las Vegas Raiders,Baltimore Ravens,3,2:36,Las Vegas Raiders,Alexander Mattison 1 yard rush (Daniel Carlson kick),13,16
2024-09-15,Las Vegas Raiders,Baltimore Ravens,4,12:11,Baltimore Ravens,Derrick Henry 3 yard rush (Justin Tucker kick),13,23
2024-09-15,Las Vegas Raiders,Baltimore Ravens,4,9:21,Las Vegas Raiders,Daniel Carlson 25 yard field goal,16,23
2024-09-15,Las Vegas Raiders,Baltimore Ravens,4,3:54,Las Vegas Raiders,Davante Adams 1 yard pass from Gardner Minshew II (Daniel Carlson kick),23,23
2024-09-15,Las Vegas Raiders,Baltimore Ravens,4,0:27,Las Vegas Raiders,Daniel Carlson 38 yard field goal,26,23
